,Filename,Label,ClassName
7782,Forest/Forest_178.jpg,1,Forest
12996,SeaLake/SeaLake_2456.jpg,2,SeaLake
12961,SeaLake/SeaLake_2461.jpg,2,SeaLake
14171,SeaLake/SeaLake_640.jpg,2,SeaLake
8136,Forest/Forest_2276.jpg,1,Forest
3972,SeaLake/SeaLake_476.jpg,2,SeaLake
9040,Forest/Forest_1127.jpg,1,Forest
2333,Forest/Forest_2678.jpg,1,Forest
14451,SeaLake/SeaLake_1768.jpg,2,SeaLake
7664,Forest/Forest_2835.jpg,1,Forest
7754,Forest/Forest_129.jpg,1,Forest
2595,Forest/Forest_1672.jpg,1,Forest
8314,Forest/Forest_2574.jpg,1,Forest
9264,Forest/Forest_2849.jpg,1,Forest
14006,SeaLake/SeaLake_2656.jpg,2,SeaLake
14895,SeaLake/SeaLake_1342.jpg,2,SeaLake
8254,Forest/Forest_1090.jpg,1,Forest
13291,SeaLake/SeaLake_563.jpg,2,SeaLake
8335,Forest/Forest_545.jpg,1,Forest
1868,SeaLake/SeaLake_2968.jpg,2,SeaLake
14769,SeaLake/SeaLake_1603.jpg,2,SeaLake
2298,Forest/Forest_2340.jpg,1,Forest
12956,SeaLake/SeaLake_1032.jpg,2,SeaLake
1197,Forest/Forest_2776.jpg,1,Forest
14713,SeaLake/SeaLake_2774.jpg,2,SeaLake
13813,SeaLake/SeaLake_2353.jpg,2,SeaLake
8235,Forest/Forest_1757.jpg,1,Forest
7829,Forest/Forest_400.jpg,1,Forest
9213,Forest/Forest_1478.jpg,1,Forest
13923,SeaLake/SeaLake_2548.jpg,2,SeaLake
14840,SeaLake/SeaLake_2653.jpg,2,SeaLake
14039,SeaLake/SeaLake_76.jpg,2,SeaLake
13040,SeaLake/SeaLake_1311.jpg,2,SeaLake
14894,SeaLake/SeaLake_146.jpg,2,SeaLake
14651,SeaLake/SeaLake_634.jpg,2,SeaLake
8561,Forest/Forest_1355.jpg,1,Forest
2540,Forest/Forest_373.jpg,1,Forest
14828,SeaLake/SeaLake_2342.jpg,2,SeaLake
9243,Forest/Forest_1999.jpg,1,Forest
3853,SeaLake/SeaLake_2212.jpg,2,SeaLake
13859,SeaLake/SeaLake_1862.jpg,2,SeaLake
14796,SeaLake/SeaLake_343.jpg,2,SeaLake
14277,SeaLake/SeaLake_1634.jpg,2,SeaLake
13321,SeaLake/SeaLake_103.jpg,2,SeaLake
4186,SeaLake/SeaLake_2117.jpg,2,SeaLake
14488,SeaLake/SeaLake_2633.jpg,2,SeaLake
4043,SeaLake/SeaLake_2243.jpg,2,SeaLake
7447,Forest/Forest_2611.jpg,1,Forest
13597,SeaLake/SeaLake_116.jpg,2,SeaLake
2344,Forest/Forest_2592.jpg,1,Forest
14686,SeaLake/SeaLake_2317.jpg,2,SeaLake
4145,SeaLake/SeaLake_841.jpg,2,SeaLake
8708,Forest/Forest_2687.jpg,1,Forest
2029,SeaLake/SeaLake_2610.jpg,2,SeaLake
14981,SeaLake/SeaLake_561.jpg,2,SeaLake
13325,SeaLake/SeaLake_2928.jpg,2,SeaLake
1909,SeaLake/SeaLake_2646.jpg,2,SeaLake
4019,SeaLake/SeaLake_2355.jpg,2,SeaLake
14156,SeaLake/SeaLake_774.jpg,2,SeaLake
2569,Forest/Forest_2637.jpg,1,Forest
8276,Forest/Forest_876.jpg,1,Forest
13508,SeaLake/SeaLake_2817.jpg,2,SeaLake
2625,Forest/Forest_1194.jpg,1,Forest
8298,Forest/Forest_203.jpg,1,Forest
4130,SeaLake/SeaLake_1306.jpg,2,SeaLake
3756,SeaLake/SeaLake_304.jpg,2,SeaLake
4218,SeaLake/SeaLake_2947.jpg,2,SeaLake
7807,Forest/Forest_2443.jpg,1,Forest
7963,Forest/Forest_75.jpg,1,Forest
4235,SeaLake/SeaLake_2043.jpg,2,SeaLake
2519,Forest/Forest_2149.jpg,1,Forest
8093,Forest/Forest_2547.jpg,1,Forest
1052,Forest/Forest_110.jpg,1,Forest
13695,SeaLake/SeaLake_1752.jpg,2,SeaLake
8324,Forest/Forest_369.jpg,1,Forest
7842,Forest/Forest_31.jpg,1,Forest
14615,SeaLake/SeaLake_527.jpg,2,SeaLake
14338,SeaLake/SeaLake_486.jpg,2,SeaLake
8184,Forest/Forest_658.jpg,1,Forest
2454,Forest/Forest_1078.jpg,1,Forest
8630,Forest/Forest_894.jpg,1,Forest
2151,Forest/Forest_2405.jpg,1,Forest
13245,SeaLake/SeaLake_2294.jpg,2,SeaLake
9064,Forest/Forest_1823.jpg,1,Forest
2119,SeaLake/SeaLake_1682.jpg,2,SeaLake
8449,Forest/Forest_1344.jpg,1,Forest
8443,Forest/Forest_2630.jpg,1,Forest
4275,SeaLake/SeaLake_1744.jpg,2,SeaLake
13056,SeaLake/SeaLake_2413.jpg,2,SeaLake
9329,Forest/Forest_627.jpg,1,Forest
14111,SeaLake/SeaLake_2167.jpg,2,SeaLake
2374,Forest/Forest_1536.jpg,1,Forest
13002,SeaLake/SeaLake_1253.jpg,2,SeaLake
7850,Forest/Forest_2987.jpg,1,Forest
13990,SeaLake/SeaLake_1722.jpg,2,SeaLake
2105,Forest/Forest_883.jpg,1,Forest
4143,SeaLake/SeaLake_714.jpg,2,SeaLake
13342,SeaLake/SeaLake_1186.jpg,2,SeaLake
13515,SeaLake/SeaLake_2780.jpg,2,SeaLake
14090,SeaLake/SeaLake_1502.jpg,2,SeaLake
2444,Forest/Forest_2682.jpg,1,Forest
14470,SeaLake/SeaLake_2084.jpg,2,SeaLake
3869,SeaLake/SeaLake_1709.jpg,2,SeaLake
8932,Forest/Forest_1574.jpg,1,Forest
8972,Forest/Forest_242.jpg,1,Forest
2673,Forest/Forest_410.jpg,1,Forest
13519,SeaLake/SeaLake_2322.jpg,2,SeaLake
14947,SeaLake/SeaLake_1632.jpg,2,SeaLake
9383,Forest/Forest_2165.jpg,1,Forest
2031,SeaLake/SeaLake_786.jpg,2,SeaLake
4251,SeaLake/SeaLake_2578.jpg,2,SeaLake
8415,Forest/Forest_854.jpg,1,Forest
2110,Forest/Forest_225.jpg,1,Forest
14948,SeaLake/SeaLake_2626.jpg,2,SeaLake
7675,Forest/Forest_27.jpg,1,Forest
2185,Forest/Forest_1306.jpg,1,Forest
3771,SeaLake/SeaLake_1825.jpg,2,SeaLake
7492,Forest/Forest_1339.jpg,1,Forest
14180,SeaLake/SeaLake_1666.jpg,2,SeaLake
8640,Forest/Forest_2624.jpg,1,Forest
12976,SeaLake/SeaLake_1548.jpg,2,SeaLake
3758,SeaLake/SeaLake_1174.jpg,2,SeaLake
1233,Forest/Forest_1550.jpg,1,Forest
14400,SeaLake/SeaLake_2936.jpg,2,SeaLake
13017,SeaLake/SeaLake_699.jpg,2,SeaLake
14953,SeaLake/SeaLake_1035.jpg,2,SeaLake
7532,Forest/Forest_2566.jpg,1,Forest
2217,Forest/Forest_2503.jpg,1,Forest
15009,SeaLake/SeaLake_1003.jpg,2,SeaLake
8829,Forest/Forest_1889.jpg,1,Forest
1948,SeaLake/SeaLake_1321.jpg,2,SeaLake
14329,SeaLake/SeaLake_2616.jpg,2,SeaLake
14610,SeaLake/SeaLake_1846.jpg,2,SeaLake
7759,Forest/Forest_2047.jpg,1,Forest
8717,Forest/Forest_2448.jpg,1,Forest
13139,SeaLake/SeaLake_318.jpg,2,SeaLake
8338,Forest/Forest_790.jpg,1,Forest
8032,Forest/Forest_2781.jpg,1,Forest
1330,Forest/Forest_1459.jpg,1,Forest
1851,SeaLake/SeaLake_2729.jpg,2,SeaLake
3905,SeaLake/SeaLake_2828.jpg,2,SeaLake
13939,SeaLake/SeaLake_2183.jpg,2,SeaLake
2107,SeaLake/SeaLake_865.jpg,2,SeaLake
4099,SeaLake/SeaLake_308.jpg,2,SeaLake
9211,Forest/Forest_2553.jpg,1,Forest
13054,SeaLake/SeaLake_2684.jpg,2,SeaLake
8292,Forest/Forest_2350.jpg,1,Forest
7962,Forest/Forest_1458.jpg,1,Forest
